channel,electrode,x,y
0,14090,175.0,1120.0
1,11376,2730.0,892.5
2,9066,805.0,717.5
3,11818,2765.0,927.5
4,12106,105.0,962.5
5,13808,2940.0,1085.0
6,13481,1067.5,1067.5
7,14907,2922.5,1172.5
8,9022,35.0,717.5
9,15567,2922.5,1225.0
10,9062,735.0,717.5
11,14687,2922.5,1155.0
12,13652,210.0,1085.0
13,15785,2887.5,1242.5
14,13650,175.0,1085.0
15,18642,2835.0,1470.0
16,11887,122.5,945.0
17,13809,2957.5,1085.0
18,13700,1050.0,1085.0
19,13589,2957.5,1067.5
20,8584,70.0,682.5
21,15129,2957.5,1190.0
22,16729,157.5,1330.0
23,15344,2870.0,1207.5
24,11885,87.5,945.0
25,14906,2905.0,1172.5
26,14091,192.5,1120.0
27,15788,2940.0,1242.5
28,13699,1032.5,1085.0
29,16009,2957.5,1260.0
30,14311,192.5,1137.5
31,15790,2975.0,1242.5
32,12105,87.5,962.5
33,9855,3062.5,770.0
34,19372,210.0,1540.0
35,15568,2940.0,1225.0
36,11447,122.5,910.0
37,9413,3027.5,735.0
38,13431,192.5,1067.5
39,16229,2957.5,1277.5
40,16509,157.5,1312.5
41,14911,2992.5,1172.5
42,18956,630.0,1505.0
43,15572,3010.0,1225.0
44,11667,122.5,927.5
45,9415,3062.5,735.0
46,13479,1032.5,1067.5
47,14247,2922.5,1120.0
48,12326,105.0,980.0
49,6375,3762.5,490.0
50,16296,280.0,1295.0
51,15128,2940.0,1190.0
53,14686,2905.0,1155.0
54,16288,140.0,1295.0
55,14909,2957.5,1172.5
56,9967,1172.5,787.5
57,15789,2957.5,1242.5
58,14312,210.0,1137.5
59,14685,2887.5,1155.0
60,13870,175.0,1102.5
61,16008,2940.0,1260.0
62,13480,1050.0,1067.5
63,18861,2817.5,1487.5
64,9293,927.5,735.0
65,13588,2940.0,1067.5
66,13651,192.5,1085.0
67,15347,2922.5,1207.5
68,10166,805.0,805.0
69,10922,2485.0,857.5
70,10408,1190.0,822.5
71,15345,2887.5,1207.5
72,13432,210.0,1067.5
73,5499,3832.5,420.0
74,16074,245.0,1277.5
75,15787,2922.5,1242.5
76,6626,455.0,525.0
77,8513,2677.5,665.0
78,16075,262.5,1277.5
79,15791,2992.5,1242.5
80,9070,875.0,717.5
81,15126,2905.0,1190.0
82,11492,910.0,910.0
83,15564,2870.0,1225.0
84,9286,805.0,735.0
85,11378,2765.0,892.5
86,19592,210.0,1557.5
87,14689,2957.5,1155.0
88,9063,752.5,717.5
89,8294,2695.0,647.5
90,16294,245.0,1295.0
91,14249,2957.5,1120.0
92,8632,910.0,682.5
93,5614,1995.0,437.5
94,11491,892.5,910.0
95,15348,2940.0,1207.5
96,12325,87.5,980.0
97,6595,3762.5,507.5
98,16728,140.0,1330.0
99,15127,2922.5,1190.0
100,7509,507.5,595.0
101,16010,2975.0,1260.0
102,11666,105.0,927.5
103,14468,2940.0,1137.5
105,14026,2905.0,1102.5
106,16295,262.5,1295.0
107,15351,2992.5,1207.5
108,9023,52.5,717.5
109,6136,3430.0,472.5
110,22229,157.5,1767.5
111,15784,2870.0,1242.5
112,8803,52.5,700.0
113,6156,3780.0,472.5
114,9504,770.0,752.5
115,15125,2887.5,1190.0
116,13871,192.5,1102.5
117,15349,2957.5,1207.5
118,12327,122.5,980.0
119,14910,2975.0,1172.5
121,5698,3465.0,437.5
122,14092,210.0,1120.0
123,15352,3010.0,1207.5
124,11445,87.5,910.0
125,5487,3622.5,420.0
129,5709,3657.5,437.5
130,23360,700.0,1855.0
133,6122,3185.0,472.5
134,22699,682.5,1802.5
135,16228,2940.0,1277.5
136,7067,472.5,560.0
137,6155,3762.5,472.5
138,22231,192.5,1767.5
140,7068,490.0,560.0
142,22227,122.5,1767.5
146,22898,315.0,1820.0
147,15571,2992.5,1225.0
150,16508,140.0,1312.5
153,5265,3587.5,402.5
154,23104,70.0,1837.5
156,8804,70.0,700.0
157,5266,3605.0,402.5
158,18736,630.0,1487.5
159,23921,2817.5,1890.0
161,5918,3465.0,455.0
162,16289,157.5,1295.0
163,18860,2800.0,1487.5
165,5057,3797.5,385.0
166,24009,507.5,1907.5
167,23942,3185.0,1890.0
168,11711,892.5,927.5
169,5485,3587.5,420.0
170,22010,175.0,1750.0
173,5489,3657.5,420.0
174,18735,612.5,1487.5
175,18641,2817.5,1470.0
176,6845,437.5,542.5
178,23788,490.0,1890.0
180,8409,857.5,665.0
181,6154,3745.0,472.5
182,19811,192.5,1575.0
183,14908,2940.0,1172.5
184,9024,70.0,717.5
186,16727,122.5,1330.0
187,15132,3010.0,1190.0
189,6138,3465.0,472.5
190,16516,280.0,1312.5
191,21944,2870.0,1732.5
192,8847,822.5,700.0
193,6594,3745.0,507.5
194,19373,227.5,1540.0
195,14470,2975.0,1137.5
196,8851,892.5,700.0
197,6596,3780.0,507.5
198,16287,122.5,1295.0
200,11446,105.0,910.0
201,14250,2975.0,1120.0
202,19812,210.0,1575.0
203,14030,2975.0,1102.5
204,9285,787.5,735.0
205,9635,3062.5,752.5
206,14310,175.0,1137.5
207,14029,2957.5,1102.5
208,11886,105.0,945.0
209,5917,3447.5,455.0
210,19591,192.5,1557.5
211,14028,2940.0,1102.5
212,11665,87.5,927.5
214,19593,227.5,1557.5
216,12107,122.5,962.5
217,9854,3045.0,770.0
218,22009,157.5,1750.0
220,8582,35.0,682.5
221,6124,3220.0,472.5
222,18516,630.0,1470.0
223,13590,2975.0,1067.5
225,5710,3675.0,437.5
226,18515,612.5,1470.0
227,10492,2660.0,822.5
228,8802,35.0,700.0
230,16514,245.0,1312.5
231,10050,2625.0,787.5
232,9946,805.0,787.5
233,13810,2975.0,1085.0
234,13430,175.0,1067.5
235,14466,2905.0,1137.5
236,8852,910.0,700.0
237,5929,3657.5,455.0
238,23543,52.5,1872.5
239,19971,2992.5,1575.0
240,9294,945.0,735.0
241,5045,3587.5,385.0
242,16076,280.0,1277.5
243,15786,2905.0,1242.5
244,7287,472.5,577.5
245,9414,3045.0,735.0
246,22008,140.0,1750.0
247,21505,2887.5,1697.5
248,10388,840.0,822.5
249,14469,2957.5,1137.5
250,18737,647.5,1487.5
252,16515,262.5,1312.5
253,15130,2975.0,1190.0
254,13872,210.0,1102.5
256,8583,52.5,682.5
257,5930,3675.0,455.0
258,22450,175.0,1785.0
260,6625,437.5,525.0
261,5903,3202.5,455.0
262,22448,140.0,1785.0
266,23103,52.5,1837.5
267,24584,2870.0,1942.5
269,5486,3605.0,420.0
270,23119,332.5,1837.5
274,23117,297.5,1837.5
275,23941,3167.5,1890.0
278,23322,35.0,1855.0
281,5931,3692.5,455.0
282,23338,315.0,1855.0
284,9071,892.5,717.5
286,23324,70.0,1855.0
289,5497,3797.5,420.0
290,25329,507.5,2012.5
294,23139,682.5,1837.5
298,23339,332.5,1855.0
299,14912,3010.0,1172.5
301,5278,3815.0,402.5
302,22466,455.0,1785.0
306,23542,35.0,1872.5
309,5711,3692.5,437.5
310,19371,192.5,1540.0
314,19813,227.5,1575.0
318,22920,700.0,1820.0
322,24007,472.5,1907.5
325,6376,3780.0,490.0
326,22687,472.5,1802.5
330,23358,665.0,1855.0
333,6374,3745.0,490.0
334,24676,630.0,1960.0
337,5696,3430.0,437.5
342,24897,647.5,1977.5
346,22451,192.5,1785.0
349,5491,3692.5,420.0
350,25328,490.0,2012.5
353,5490,3675.0,420.0
354,24228,490.0,1925.0
357,5498,3815.0,420.0
358,22447,122.5,1785.0
366,22701,717.5,1802.5
